Feature,Importance
v969,0.008000247363027823
v125,0.007533565379136189
v569,0.0073737935169380054
v583,0.0072046880979858095
v940,0.0059716724623309
v457,0.004239641366904778
v948,0.002962769890289402
v277,0.0029076395528114707
v619,0.002862383116976648
v412,0.00280346532606614
v846,0.002724795889033499
v599,0.0027144523412614913
v329,0.0026916668010383655
v957,0.002674518218760562
v737,0.0026105655341895485
v188,0.0026072279096021785
v435,0.00257979722658045
v275,0.0025529785831380613
v402,0.0025347747038196545
v798,0.002513233045909742
v330,0.0025050199787005384
v229,0.0025043073335843467
v952,0.0024971161208269684
v170,0.002497062262717165
v629,0.002491598020903988
v192,0.0024754494908528586
v356,0.002461267646867591
v784,0.002457166222186456
v245,0.0024495182853372915
v543,0.002446212880750164
v073,0.002444786295248719
v904,0.002444546997403176
v495,0.0024429927060758334
v263,0.0024291459015581864
v938,0.0024203138204012616
v658,0.002415219297687063
v451,0.0023637166377238395
v730,0.002354596584433764
v881,0.0023490763328455353
v670,0.00234556533739529
v908,0.0023448060124684135
v832,0.0023444755830866336
v895,0.0023407826043640727
v546,0.0023349342508533176
v880,0.002330760045064007
v366,0.002321256036770218
v439,0.002320566660132732
v611,0.0023095461429060485
v261,0.002304027111772442
v483,0.002298949813745268
v089,0.0022980800092063792
v088,0.0022935279999160107
v105,0.0022840492625043883
v767,0.002282506104618486
v361,0.0022808109923739685
v018,0.002278245967003265
v171,0.0022717568017868507
v722,0.0022694840740485524
v946,0.0022681335227473466
v307,0.0022673630759165882
v127,0.002266257342207109
v514,0.0022620987359362773
v377,0.0022586543064833254
v927,0.0022491802557526304
v338,0.0022413929830811946
v154,0.0022412789941063938
v966,0.0022321352647941837
v302,0.0022313101427514246
v117,0.002227965558833008
v208,0.002217954791467024
v284,0.0022134800004184243
v428,0.0022064609578045487
v288,0.002201470486595814
v838,0.0022008854064821974
v967,0.0021887760807362293
v111,0.0021845068746603287
v548,0.0021844237386958267
v898,0.002182683609938777
v266,0.002175734514291333
v861,0.0021696169077729745
v594,0.0021621229943376945
v464,0.0021550008946422785
v928,0.002153622605972326
v739,0.0021513784186507202
v586,0.0021421994670906674
v522,0.0021271864909970712
v041,0.0021250431412319897
v226,0.002112976898303748
v467,0.0021086287912300047
v324,0.002107410683335573
v808,0.002107181591065001
v418,0.0021051127755239126
v602,0.002103760701876864
v756,0.0021026231540638663
v035,0.002102501362685131
v430,0.0020854583788992875
v270,0.002079003893776667
v086,0.0020785996117536863
v902,0.0020701445419123174
v786,0.0020626508790319302
v833,0.0020625202196781715
v724,0.0020603322519205237
v570,0.002060312063753193
v181,0.002055751376677364
v720,0.0020554019523527697
v620,0.0020486514006021386
v914,0.0020478953379540173
v943,0.0020424662211752185
v221,0.002041748606357648
v026,0.002041198203631645
v106,0.0020389414051265723
v391,0.002038302561361637
v568,0.002032775280375533
v076,0.002030904714326445
v811,0.0020255858501475286
v227,0.00202026688950949
v917,0.0020149179245623375
v981,0.0020117235427847702
v029,0.002007104757896554
v754,0.0020055703225555664
v713,0.002003398783086226
v445,0.002002082388842267
v712,0.0019951734054300925
v752,0.0019893342558772245
v683,0.0019789958297205057
v979,0.001977592152748084
v260,0.001976632002975323
v763,0.0019749191434205175
v591,0.00197346589834298
v177,0.001969181945566487
v834,0.001964452099712046
v704,0.0019594628000556506
v613,0.0019573406295181365
v802,0.001954689118943614
v425,0.0019490961805769117
v319,0.0019471778415335176
v163,0.0019457067745300434
v637,0.0019455214981536169
v332,0.0019443232577786534
v183,0.0019428400385881378
v777,0.0019405234652226319
v673,0.0019260265236113125
v069,0.0019227993951023504
v341,0.0019214087832132537
v689,0.0019204689990760548
v358,0.001913040151520911
v239,0.0019076167110078648
v674,0.0019058289440388714
v596,0.0019049920256743243
v279,0.001902061778001396
v886,0.0018962449859013914
v667,0.0018940791114419923
v400,0.0018896459023715537
v122,0.001888576672639933
v290,0.0018863671358579828
v480,0.001881734780900618
v331,0.0018800312402558817
v250,0.0018733379433314393
v387,0.001872933314118622
v204,0.0018701564723749822
v283,0.0018677051234843236
v585,0.0018663620503359837
v792,0.001861297701049012
v496,0.001858388144562507
v178,0.0018582231518563292
v903,0.0018547595584364604
v874,0.0018509390707639442
v860,0.001850822743881172
v438,0.0018503653848686514
v162,0.0018468586928647869
v560,0.001839795657976221
v222,0.0018372665147557011
v352,0.0018357522965404913
v854,0.0018351789808139082
v203,0.001834341011750036
v539,0.0018282751462909436
v414,0.0018271393731112277
v014,0.0018227234369653192
v131,0.0018123052483901383
v112,0.0018117747480914826
v090,0.001811025839610469
v121,0.0018077112490575205
v764,0.001805059507148308
v098,0.0018048896046743582
v339,0.001804829459704576
v316,0.0018042484713731717
v542,0.0018035505191779776
v422,0.001798666474709878
v623,0.001794232128323927
v622,0.0017939502303388275
v423,0.0017913393239086955
v234,0.0017882690231466616
v153,0.001786498519433266
v675,0.001782742048014132
v996,0.0017796910666618734
v185,0.0017762364284996876
v440,0.0017710878775741912
v751,0.001767730372837407
v462,0.0017668247406869627
v434,0.001766390863383219
v225,0.0017617685042558185
v211,0.0017591443355429131
v411,0.001751382604410103
v915,0.0017473885045435186
v788,0.0017433236042927922
v573,0.0017399643474505255
v469,0.0017385827690832795
v317,0.001734414273185115
v193,0.0017332607270324474
v408,0.0017250127666229723
v815,0.0017239035279127172
v064,0.0017188732524931914
v169,0.0017180785409929295
v476,0.0017129660700409574
v960,0.0017043306841111306
v796,0.0016991099344525267
v773,0.0016960800097039822
v615,0.001694513344640121
v746,0.0016936777198220119
v062,0.0016853446765152293
v575,0.0016722922061237133
v519,0.0016691762157937844
v523,0.0016682199693676377
v900,0.001667676594283115
v830,0.0016674040985721536
v698,0.0016644915896068617
v561,0.0016570913548476249
v836,0.0016478085547628396
v864,0.0016441312592238514
v831,0.001642988575145776
v378,0.0016428289087536995
v750,0.0016361828224903557
v072,0.0016299824971913747
v326,0.001629614688639504
v083,0.0016273486982572908
v258,0.0016249615566949214
v360,0.0016248399221317597
v070,0.0016223950742008733
v459,0.0016211552120958715
v606,0.0016197240968868604
