entid,Action_Grade,ENTTYPE,INDUSTRYPHY,RECCAP,Social,Inconfidence,CaseType,ANCHEYEAR,ANCHEDATE,BUSST,ASSGRO,MAIBUSINC,NETINC,TOTEQU,VENDINC,Ratio,Year,Frequency,CONAM_new,CONPROP_new,ttype
122697049,15.0,10,9,4700000.0,0.0,0.0,2,2014.0,2015/7/30,0.0,,,,,,,,,-8103056.973455395,-100.43931756194723,4.0
122697049,15.0,10,9,4700000.0,0.0,0.0,2,2014.0,2015/7/30,0.0,,,,,,,,,0.44483508821576834,-99.93003693639317,2.0
122697049,15.0,10,9,4700000.0,0.0,0.0,2,2014.0,2015/7/30,0.0,,,,,,,,,-1.567287726327777,-99.04276267268509,2.0
122697049,15.0,10,9,4700000.0,0.0,0.0,2,2014.0,2015/7/30,0.0,,,,,,,,,-5584794.530154509,-68.77897876304607,4.0
122697049,15.0,10,9,4700000.0,0.0,0.0,2,2014.0,2015/7/30,0.0,,,,,,,,,-0.16177472937852144,-69.37354979068317,4.0
122697049,15.0,10,9,4700000.0,0.0,0.0,2,2015.0,2016/5/6,0.0,,,,,,,,,-8103056.973455395,-100.43931756194723,4.0
122697049,15.0,10,9,4700000.0,0.0,0.0,2,2015.0,2016/5/6,0.0,,,,,,,,,0.44483508821576834,-99.93003693639317,2.0
122697049,15.0,10,9,4700000.0,0.0,0.0,2,2015.0,2016/5/6,0.0,,,,,,,,,-1.567287726327777,-99.04276267268509,2.0
122697049,15.0,10,9,4700000.0,0.0,0.0,2,2015.0,2016/5/6,0.0,,,,,,,,,-5584794.530154509,-68.77897876304607,4.0
122697049,15.0,10,9,4700000.0,0.0,0.0,2,2015.0,2016/5/6,0.0,,,,,,,,,-0.16177472937852144,-69.37354979068317,4.0
122697049,15.0,10,9,4700000.0,0.0,0.0,2,2017.0,2018/8/24,11.0,,,,,,,,,-8103056.973455395,-100.43931756194723,4.0
122697049,15.0,10,9,4700000.0,0.0,0.0,2,2017.0,2018/8/24,11.0,,,,,,,,,0.44483508821576834,-99.93003693639317,2.0
