entid,ispublic,ANCHEYEAR,so1,so2,so3,so4,so5,totalWagesSo1,totalWagesSo2,totalWagesSo3,totalWagesSo5,totalPaymentSo1,totalPaymentSo2,totalPaymentSo3,totalPaymentSo4,totalPaymentSo5,unPaidSocialInsSo1,unPaidSocialInsSo2,unPaidSocialInsSo3,unPaidSocialInsSo4,unPaidSocialInsSo5,honor_num,illegad_num,yea_sub,web_dum,ENTTYPE,INDUSTRYPHY,REGCAP,REGCAPCUR,RECCAP,PARNUM,LIMPARNUM,PARFORM,EXENUM,brand_num,cancel_dum,certificate_num,tax_dum
272347642,1,2016,-0.65378391,-0.602713398,-0.35793476,1.391685362,-0.049549326,0.846178257,-2.542993495,-0.690912363,-0.115746439,0.849091533,-0.760859682,-1.857753042,0.493391883,-0.583224952,-2.12589826,-1.642271303,0.294672333,0.871710067,-0.383763053,,,,,,,,,,,,,,,,,
432161556,1,2016,-0.883412131,0.677451234,0.152509693,-1.034646894,-1.617858555,0.433975728,-0.769229723,0.562692651,-1.611235905,-1.538846276,0.703441834,1.525758477,-0.863424546,1.504181891,-1.666029694,-0.578373019,-1.480779003,-1.304365619,1.405026947,,,,,,,,,,,,,,,,,
730888062,1,2016,0.26064547,0.826005901,0.416773763,-0.489676806,1.563328601,-1.002218406,0.950197249,-1.812509659,1.526010907,0.988216833,-2.205090915,-0.230121762,0.784471868,-0.273432547,0.028417155,0.020743485,-0.563894397,-0.087338955,1.07784134,,,,,,,,,,,,,,,,,
790901023,1,2016,3.543260821,3.848211779,3.247751883,6.315798019,5.451597834,6.258752355,-0.710563253,0.60301532,0.669737902,4.148589322,1.711916863,0.72130847,0.939664381,0.892419249,-0.403394603,-0.045133883,0.745169194,0.129660202,0.376187836,,,,,,,,,,,,,,,,,
208114644,1,2016,94.39977966,95.62965592,94.0615381,94.76250339,94.38437078,-2.902076671,0.128896615,-1.989904975,1.191609631,-0.152666254,0.139665856,-1.246078891,0.301653201,-0.470062419,-0.425676578,-0.051662554,1.13266368,-1.001103828,-0.558261755,,,,,,,,,,,,,,,,,
630988110,1,2016,0.318047677,1.188452001,2.251964018,1.254569199,0.220722046,0.747541211,1.470942237,0.551075271,1.705628514,0.318725376,0.095138432,1.764485377,-2.741598059,-0.83083958,-0.891539552,0.175913689,-0.713161151,0.478738041,-1.135610976,,,,,,,,,,,,,,,,,
855400778,1,2016,-1.456651785,-0.803008645,-1.571787046,1.019798719,-0.623416511,0.21388578,0.37159343,0.576225077,-0.512853259,0.656477082,-1.530207453,0.843903287,-1.547207003,-0.465059245,0.797932357,0.854105777,0.682076388,0.065661868,-1.056313146,,,,,,,,,,,,,,,,,
173425626,1,2017,0.191399316,0.222100046,0.66413871,-0.948630842,-1.186731171,0.573042378,0.369698145,-0.341424674,0.22926719,1.336683163,-0.404017974,-0.340209455,-1.266451885,-0.969920169,-0.744029435,-1.155964144,-1.405692356,0.074722984,0.152799095,,,,,,,,,,,,,,,,,
312112730,1,2016,0.614219173,0.889628362,1.282242801,-0.637478173,1.144416141,-0.40834263,0.657064928,-1.091253374,0.039956025,-1.404126853,-0.75469429,-2.087683551,0.52944245,-1.747477136,-0.743258485,-1.145766668,-0.129427927,-1.20190784,-1.221208174,,,,,,,,,,,,,,,,,
1018283505,1,2017,5.736852742,3.296343806,3.814755173,3.94517024,6.109699796,-0.73423899,-0.137715131,-0.035152245,-0.025809826,0.805696227,1.382452744,0.439302083,0.240707228,0.877714877,-0.532177794,-0.09090933,1.677268689,-1.615787963,-1.344851783,,,,,,,,,,,,,,,,,
