entid,entid_inv,CONAM_before,CONAM_after,CONPROP_before,CONPROP_after,ttype,ATDATE
122697049,3515,8103056.973455395,,100.43931756194723,,4.0,
122697049,3515,8103055.174477815,8103055.619312902,99.93003693639317,,2.0,
122697049,3515,8103059.797144749,8103058.229857023,99.0427626726851,,2.0,
122697049,39640120,5584794.530154508,,68.77897876304608,,4.0,
122697049,0,5584792.648115911,5584792.486341182,69.37354979068317,,,
959830672,0,37998.03823196025,37999.497635575775,99.37119105366192,,2.0,
620868429,0,1258.367125185561,1258.7632545681502,15.211070891675226,,2.0,
620868429,0,1043.9969231454206,1044.3965790636848,11.410181336522792,,2.0,
620868429,0,1053.2848678442194,1052.2963745461757,9.281684464375772,,2.0,
620868429,0,1051.8026348705723,1052.452651680206,9.182623903776587,,2.0,
620868429,0,914.802041575067,912.2037076571628,9.211405652489502,,2.0,
620868429,0,1279.516472790035,1280.3512737116114,12.881492091382995,,2.0,
620868429,0,1049.3968106859438,1052.6739476459652,10.85295929130001,,2.0,
620868429,0,1044.5583495866736,1043.4771564431917,9.66147116362696,,2.0,
1176966297,0,2997.5849320244024,2999.4671229809915,99.6740324932744,,2.0,
658987796,994931,49.28319456073652,50.09332643260222,0.8437614773753387,,2.0,
658987796,0,9950.391901141857,9949.332349617682,98.23205887226231,,2.0,
1189216366,0,2851.418781655909,2850.0190917876253,94.97696465258988,,2.0,
1189216366,0,2849.096703923282,2849.798818178027,94.37898981301868,,2.0,
1189216366,0,149.65368779723428,149.8141475375099,5.111670508937514,,2.0,
1189216366,51824422,2999.9455681024547,3001.4401073085287,99.23541415012176,,,
959453158,0,3202.171691132901,3201.3985037836123,66.34845014792009,,2.0,
805505073,1407391,4399.538093511415,4400.380126280668,14.246790488134836,,2.0,
805505073,1463532,14850.251749335355,14848.364151323802,49.47277161224597,,2.0,
805505073,1471432,4000.124398417807,4000.358467049216,14.122902577541124,,2.0,
805505073,1158371,7749.533369996912,7748.381369350299,24.647164519642004,,2.0,
805505073,1463532,14851.557083090298,14851.632553774276,50.64035982370113,,2.0,
923269747,0,2700.2901935394734,2701.9509678453423,27.339398881604367,,2.0,
923269747,4309028,600.3613741143907,,60.26477214714429,,4.0,
923269747,0,899.4410992106739,899.6226092734046,8.557032069792127,,2.0,
923269747,0,298.7025777111397,299.8679150979769,29.64958592640784,,2.0,
923269747,4309028,5399.441177653156,5399.945809350995,54.28098853937605,,2.0,
559790998,5182089,999.1524204744096,1001.9747953659108,99.72862480535886,,2.0,
337502360,0,100000.72762892832,100001.42269347236,98.60354638020726,,2.0,
755521214,0,5939.564640254614,,100.30031644728749,,4.0,
606816694,0,31.378620215890656,,11.30049188456725,0.3831419484757278,4.0,2017-07-16
606816694,0,29.43175436406761,,10.38092427743047,-0.113787240452465,4.0,2017-12-16
606816694,44887286,300.6816950441002,301.23652145594025,100.03440849592911,,2.0,
606816694,44887286,,59.38769186914215,-0.3148753113846078,19.245280804643443,3.0,2017-09-16
606816694,66187,240.7236026343135,,80.54210529178518,,4.0,
1031153973,0,49.19260307569773,63.87270228946521,49.17928819437642,65.10898999833212,1.0,2017-05-24
1031153973,0,,36.15854498368426,0.4138315916690268,34.11958736714128,3.0,2017-09-24
1031153973,0,49.11338318783131,,47.85713041723098,1.3537517357328606,4.0,2017-07-24
221832261,0,2405.865179701669,2406.624931201964,65.1285804657774,,2.0,
221832261,0,2405.447500418449,2404.703099624187,65.41602878888261,,2.0,
221832261,0,1295.7411374386825,1295.5314626841955,36.61865220328685,,2.0,
283120087,0,19498.700092948347,19500.256084443667,97.3121168180118,,2.0,
283120087,0,19500.020793445037,19498.940224918984,97.13839009996656,,2.0,
283120087,0,497.95381074680967,499.84907908563497,2.7005240410594453,,2.0,
133252686,0,256.557450630037,255.0559234460465,52.24779097820046,,2.0,
102673201,0,1751.9400099410232,1199.9758479332515,34.18449924208829,23.881627171919536,2.0,2016-04-08
