entid,Action_Grade,ENTTYPE,INDUSTRYPHY,RECCAP,Social,Inconfidence,CaseType,ANCHEYEAR,ANCHEDATE,BUSST,ASSGRO,MAIBUSINC,NETINC,TOTEQU,VENDINC,Ratio,Year,Frequency
1113017293,10.0,3,11,50.0,0.0,0.0,0,2013.0,2018/10/29,11.0,,,,,,,,
954239726,10.0,3,11,0.0,0.0,0.0,0,,,,,,,,,,,
954239726,10.0,3,11,0.0,0.0,0.0,0,,,,,,,,,,,
50899367,10.0,27,9,0.0,0.0,0.0,2,2013.0,2015/1/21,0.0,,,,,,,2009.0,16.0
50899367,10.0,27,9,0.0,0.0,0.0,2,2013.0,2015/1/21,0.0,,,,,,,2012.0,8.0
50899367,10.0,27,9,0.0,0.0,0.0,2,2013.0,2015/1/21,0.0,,,,,,,2003.0,1.0
50899367,10.0,27,9,0.0,0.0,0.0,2,2013.0,2015/1/21,0.0,,,,,,,2005.0,6.0
50899367,10.0,27,9,0.0,0.0,0.0,2,2013.0,2015/1/21,0.0,,,,,,,2011.0,7.0
50899367,10.0,27,9,0.0,0.0,0.0,2,2013.0,2015/1/21,0.0,,,,,,,2016.0,18.0
50899367,10.0,27,9,0.0,0.0,0.0,2,2013.0,2015/1/21,0.0,,,,,,,2006.0,4.0
50899367,10.0,27,9,0.0,0.0,0.0,2,2013.0,2015/1/21,0.0,,,,,,,2018.0,0.0
50899367,10.0,27,9,0.0,0.0,0.0,2,2016.0,2017/8/31,15.0,,,,,,,2009.0,16.0
50899367,10.0,27,9,0.0,0.0,0.0,2,2016.0,2017/8/31,15.0,,,,,,,2012.0,8.0
50899367,10.0,27,9,0.0,0.0,0.0,2,2016.0,2017/8/31,15.0,,,,,,,2003.0,1.0
50899367,10.0,27,9,0.0,0.0,0.0,2,2016.0,2017/8/31,15.0,,,,,,,2005.0,6.0
50899367,10.0,27,9,0.0,0.0,0.0,2,2016.0,2017/8/31,15.0,,,,,,,2011.0,7.0
50899367,10.0,27,9,0.0,0.0,0.0,2,2016.0,2017/8/31,15.0,,,,,,,2016.0,18.0
50899367,10.0,27,9,0.0,0.0,0.0,2,2016.0,2017/8/31,15.0,,,,,,,2006.0,4.0
50899367,10.0,27,9,0.0,0.0,0.0,2,2016.0,2017/8/31,15.0,,,,,,,2018.0,0.0
50899367,10.0,27,9,0.0,0.0,0.0,2,2017.0,2018/5/28,15.0,,,,,,,2009.0,16.0
50899367,10.0,27,9,0.0,0.0,0.0,2,2017.0,2018/5/28,15.0,,,,,,,2012.0,8.0
50899367,10.0,27,9,0.0,0.0,0.0,2,2017.0,2018/5/28,15.0,,,,,,,2003.0,1.0
50899367,10.0,27,9,0.0,0.0,0.0,2,2017.0,2018/5/28,15.0,,,,,,,2005.0,6.0
50899367,10.0,27,9,0.0,0.0,0.0,2,2017.0,2018/5/28,15.0,,,,,,,2011.0,7.0
50899367,10.0,27,9,0.0,0.0,0.0,2,2017.0,2018/5/28,15.0,,,,,,,2016.0,18.0
50899367,10.0,27,9,0.0,0.0,0.0,2,2017.0,2018/5/28,15.0,,,,,,,2006.0,4.0
50899367,10.0,27,9,0.0,0.0,0.0,2,2017.0,2018/5/28,15.0,,,,,,,2018.0,0.0
50899367,10.0,27,9,0.0,0.0,0.0,2,2015.0,2016/5/14,0.0,,,,,,,2009.0,16.0
50899367,10.0,27,9,0.0,0.0,0.0,2,2015.0,2016/5/14,0.0,,,,,,,2012.0,8.0
50899367,10.0,27,9,0.0,0.0,0.0,2,2015.0,2016/5/14,0.0,,,,,,,2003.0,1.0
50899367,10.0,27,9,0.0,0.0,0.0,2,2015.0,2016/5/14,0.0,,,,,,,2005.0,6.0
50899367,10.0,27,9,0.0,0.0,0.0,2,2015.0,2016/5/14,0.0,,,,,,,2011.0,7.0
50899367,10.0,27,9,0.0,0.0,0.0,2,2015.0,2016/5/14,0.0,,,,,,,2016.0,18.0
50899367,10.0,27,9,0.0,0.0,0.0,2,2015.0,2016/5/14,0.0,,,,,,,2006.0,4.0
