entid,Action_Grade,ENTTYPE,INDUSTRYPHY,RECCAP,Social,Inconfidence,CaseType,ANCHEYEAR,ANCHEDATE,BUSST,ASSGRO,MAIBUSINC,NETINC,TOTEQU,VENDINC
952329218,10.0,3,11,0.0,0.0,0.0,,,,,,,,,
421844157,10.0,5,11,0.0,0.0,0.0,,2015.0,2017/5/23,13.0,1.728296085,-0.990020578,-0.203592876,1.657839769,-1.426309509
421844157,10.0,5,11,0.0,0.0,0.0,,2015.0,2017/5/23,13.0,0.238078845,0.331506394,0.458816135,0.01060284,0.23459388899999997
421844157,10.0,5,11,0.0,0.0,0.0,,2015.0,2017/5/23,13.0,-0.47276326799999996,1.2076226540000001,-0.6269425999999999,-0.332956178,-0.348975225
421844157,10.0,5,11,0.0,0.0,0.0,,2015.0,2017/5/23,13.0,9.668379647,-0.458011166,-0.999772598,8.896303797,-0.677385743
421844157,10.0,5,11,0.0,0.0,0.0,,2016.0,2017/10/23,13.0,1.728296085,-0.990020578,-0.203592876,1.657839769,-1.426309509
421844157,10.0,5,11,0.0,0.0,0.0,,2016.0,2017/10/23,13.0,0.238078845,0.331506394,0.458816135,0.01060284,0.23459388899999997
421844157,10.0,5,11,0.0,0.0,0.0,,2016.0,2017/10/23,13.0,-0.47276326799999996,1.2076226540000001,-0.6269425999999999,-0.332956178,-0.348975225
421844157,10.0,5,11,0.0,0.0,0.0,,2016.0,2017/10/23,13.0,9.668379647,-0.458011166,-0.999772598,8.896303797,-0.677385743
421844157,10.0,5,11,0.0,0.0,0.0,,2017.0,2018/9/16,13.0,1.728296085,-0.990020578,-0.203592876,1.657839769,-1.426309509
421844157,10.0,5,11,0.0,0.0,0.0,,2017.0,2018/9/16,13.0,0.238078845,0.331506394,0.458816135,0.01060284,0.23459388899999997
421844157,10.0,5,11,0.0,0.0,0.0,,2017.0,2018/9/16,13.0,-0.47276326799999996,1.2076226540000001,-0.6269425999999999,-0.332956178,-0.348975225
421844157,10.0,5,11,0.0,0.0,0.0,,2017.0,2018/9/16,13.0,9.668379647,-0.458011166,-0.999772598,8.896303797,-0.677385743
421844157,10.0,5,11,0.0,0.0,0.0,,2014.0,2017/7/23,13.0,1.728296085,-0.990020578,-0.203592876,1.657839769,-1.426309509
421844157,10.0,5,11,0.0,0.0,0.0,,2014.0,2017/7/23,13.0,0.238078845,0.331506394,0.458816135,0.01060284,0.23459388899999997
421844157,10.0,5,11,0.0,0.0,0.0,,2014.0,2017/7/23,13.0,-0.47276326799999996,1.2076226540000001,-0.6269425999999999,-0.332956178,-0.348975225
421844157,10.0,5,11,0.0,0.0,0.0,,2014.0,2017/7/23,13.0,9.668379647,-0.458011166,-0.999772598,8.896303797,-0.677385743
421844157,10.0,5,11,0.0,0.0,0.0,,2018.0,2019/9/20,13.0,1.728296085,-0.990020578,-0.203592876,1.657839769,-1.426309509
421844157,10.0,5,11,0.0,0.0,0.0,,2018.0,2019/9/20,13.0,0.238078845,0.331506394,0.458816135,0.01060284,0.23459388899999997
421844157,10.0,5,11,0.0,0.0,0.0,,2018.0,2019/9/20,13.0,-0.47276326799999996,1.2076226540000001,-0.6269425999999999,-0.332956178,-0.348975225
421844157,10.0,5,11,0.0,0.0,0.0,,2018.0,2019/9/20,13.0,9.668379647,-0.458011166,-0.999772598,8.896303797,-0.677385743
475255424,10.0,3,11,1000.0,0.0,0.0,,2014.0,2015/9/29,0.0,2832.42537,-0.16748793,-5.577068085,2118.987732,0.5831374770000001
475255424,10.0,3,11,1000.0,0.0,0.0,,2014.0,2015/9/29,0.0,2670.4059780000002,-0.27182187399999996,1006.994333,2293.4373579999997,-0.15119903099999998
475255424,10.0,3,11,1000.0,0.0,0.0,,2014.0,2015/9/29,0.0,2601.0328600000003,-0.09251068900000001,61.95309851,2142.812241,-0.274061981
475255424,10.0,3,11,1000.0,0.0,0.0,,2014.0,2015/9/29,0.0,2617.579906,-0.315386135,42.50530926,2091.209598,-0.7678368259999999
475255424,10.0,3,11,1000.0,0.0,0.0,,2016.0,2017/5/20,0.0,2832.42537,-0.16748793,-5.577068085,2118.987732,0.5831374770000001
475255424,10.0,3,11,1000.0,0.0,0.0,,2016.0,2017/5/20,0.0,2670.4059780000002,-0.27182187399999996,1006.994333,2293.4373579999997,-0.15119903099999998
475255424,10.0,3,11,1000.0,0.0,0.0,,2016.0,2017/5/20,0.0,2601.0328600000003,-0.09251068900000001,61.95309851,2142.812241,-0.274061981
475255424,10.0,3,11,1000.0,0.0,0.0,,2016.0,2017/5/20,0.0,2617.579906,-0.315386135,42.50530926,2091.209598,-0.7678368259999999
475255424,10.0,3,11,1000.0,0.0,0.0,,2017.0,2018/3/27,15.0,2832.42537,-0.16748793,-5.577068085,2118.987732,0.5831374770000001
475255424,10.0,3,11,1000.0,0.0,0.0,,2017.0,2018/3/27,15.0,2670.4059780000002,-0.27182187399999996,1006.994333,2293.4373579999997,-0.15119903099999998
475255424,10.0,3,11,1000.0,0.0,0.0,,2017.0,2018/3/27,15.0,2601.0328600000003,-0.09251068900000001,61.95309851,2142.812241,-0.274061981
475255424,10.0,3,11,1000.0,0.0,0.0,,2017.0,2018/3/27,15.0,2617.579906,-0.315386135,42.50530926,2091.209598,-0.7678368259999999
475255424,10.0,3,11,1000.0,0.0,0.0,,2015.0,2016/9/24,0.0,2832.42537,-0.16748793,-5.577068085,2118.987732,0.5831374770000001
475255424,10.0,3,11,1000.0,0.0,0.0,,2015.0,2016/9/24,0.0,2670.4059780000002,-0.27182187399999996,1006.994333,2293.4373579999997,-0.15119903099999998
475255424,10.0,3,11,1000.0,0.0,0.0,,2015.0,2016/9/24,0.0,2601.0328600000003,-0.09251068900000001,61.95309851,2142.812241,-0.274061981
475255424,10.0,3,11,1000.0,0.0,0.0,,2015.0,2016/9/24,0.0,2617.579906,-0.315386135,42.50530926,2091.209598,-0.7678368259999999
475255424,10.0,3,11,1000.0,0.0,0.0,,2013.0,2015/4/29,0.0,2832.42537,-0.16748793,-5.577068085,2118.987732,0.5831374770000001
475255424,10.0,3,11,1000.0,0.0,0.0,,2013.0,2015/4/29,0.0,2670.4059780000002,-0.27182187399999996,1006.994333,2293.4373579999997,-0.15119903099999998
475255424,10.0,3,11,1000.0,0.0,0.0,,2013.0,2015/4/29,0.0,2601.0328600000003,-0.09251068900000001,61.95309851,2142.812241,-0.274061981
475255424,10.0,3,11,1000.0,0.0,0.0,,2013.0,2015/4/29,0.0,2617.579906,-0.315386135,42.50530926,2091.209598,-0.7678368259999999
475255424,10.0,3,11,1000.0,0.0,0.0,,2018.0,2019/10/22,15.0,2832.42537,-0.16748793,-5.577068085,2118.987732,0.5831374770000001
475255424,10.0,3,11,1000.0,0.0,0.0,,2018.0,2019/10/22,15.0,2670.4059780000002,-0.27182187399999996,1006.994333,2293.4373579999997,-0.15119903099999998
475255424,10.0,3,11,1000.0,0.0,0.0,,2018.0,2019/10/22,15.0,2601.0328600000003,-0.09251068900000001,61.95309851,2142.812241,-0.274061981
475255424,10.0,3,11,1000.0,0.0,0.0,,2018.0,2019/10/22,15.0,2617.579906,-0.315386135,42.50530926,2091.209598,-0.7678368259999999
486671830,10.0,5,11,100.0,0.0,0.0,,,,,,,,,
510117950,10.0,18,8,0.0,0.0,0.0,,2016.0,2017/10/19,11.0,,,,,
510117950,10.0,18,8,0.0,0.0,0.0,,2017.0,2018/1/25,11.0,,,,,
510117950,10.0,18,8,0.0,0.0,0.0,,2014.0,2016/2/13,0.0,,,,,
510117950,10.0,18,8,0.0,0.0,0.0,,2015.0,2016/10/13,0.0,,,,,
510117950,10.0,18,8,0.0,0.0,0.0,,2013.0,2016/7/13,0.0,,,,,
510117950,10.0,18,8,0.0,0.0,0.0,,2018.0,2019/6/25,0.0,,,,,
